Sample	Sample_ID_Full	Join_ID	sample.title	UMAP1	UMAP2
GSM2402988_6929718050_R03C01.tsv	GSM2402988_6929718050_R03C01	GSM2402988	MB, SHH CHL AD	1.02736678794992	-12.0916455241863
GSM2402989_6929689149_R06C01.tsv	GSM2402989_6929689149_R06C01	GSM2402989	SUBEPN, PF	-7.68973371311056	5.41373033793524
GSM2402990_6929689149_R01C02.tsv	GSM2402990_6929689149_R01C02	GSM2402990	PTPR, B	-7.81531211658346	0.638751223402768
GSM2402991_6929689149_R02C02.tsv	GSM2402991_6929689149_R02C02	GSM2402991	SUBEPN, ST	-3.39310142322409	9.19184084208563
GSM2402992_6929689149_R03C02.tsv	GSM2402992_6929689149_R03C02	GSM2402992	EPN, YAP	-4.31615182681906	8.44374819071844
GSM2402993_6929689149_R05C01.tsv	GSM2402993_6929689149_R05C01	GSM2402993	EPN, PF A	-9.39064761920798	-4.63345555989191
GSM2402994_6929718050_R04C01.tsv	GSM2402994_6929718050_R04C01	GSM2402994	MB, SHH CHL AD	0.748982519666079	-12.8543370219891
GSM2402995_6929689149_R04C01.tsv	GSM2402995_6929689149_R04C01	GSM2402995	EPN, PF A	-9.27532455249655	-4.61938504902765
GSM2402996_6929689149_R04C02.tsv	GSM2402996_6929689149_R04C02	GSM2402996	EPN, PF B	-7.30705568118918	4.87265844615057
GSM2402997_6929718001_R01C02.tsv	GSM2402997_6929718001_R01C02	GSM2402997	EFT, CIC	-1.13353112264502	7.70319576533392
GSM2402998_6929718001_R03C02.tsv	GSM2402998_6929718001_R03C02	GSM2402998	EPN, RELA	12.665128023187	10.2791230228718
GSM2402999_6929718020_R03C02.tsv	GSM2402999_6929718020_R03C02	GSM2402999	ETMR	-13.8014638118349	-7.03302554814264
GSM2403000_6929718020_R05C02.tsv	GSM2403000_6929718020_R05C02	GSM2403000	CNS NB, FOXR2	-2.92072507663595	-7.99720267979547
GSM2403001_6929718057_R03C02.tsv	GSM2403001_6929718057_R03C02	GSM2403001	ETMR	-13.7474791698061	-7.00047950474665
GSM2403002_6929718057_R04C02.tsv	GSM2403002_6929718057_R04C02	GSM2403002	ETMR	-13.7784812144839	-6.98282699314997
